unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1596546000000,2020-08-04 13:00:00,BNB/USDT,21.88,21.88,21.5621,21.8516,85545.81,1859121.292,7264
1596549600000,2020-08-04 14:00:00,BNB/USDT,21.8544,21.99,21.8198,21.9808,69978.41,1533944.713,5037
1596553200000,2020-08-04 15:00:00,BNB/USDT,21.987,22.066,21.8731,21.9599,46629.76,1024345.753,4063
1596556800000,2020-08-04 16:00:00,BNB/USDT,21.9598,21.9991,21.7095,21.7947,140709.36,3066927.531,5200
1596560400000,2020-08-04 17:00:00,BNB/USDT,21.7947,21.9987,21.78,21.9857,100382.34,2200517.693,4077
1596564000000,2020-08-04 18:00:00,BNB/USDT,21.9857,22.0398,21.81,21.8415,45564.84,999480.3016,4139
1596567600000,2020-08-04 19:00:00,BNB/USDT,21.8414,21.9682,21.8339,21.9216,31329.66,686236.6928,2862
1596571200000,2020-08-04 20:00:00,BNB/USDT,21.9264,22.127,21.9202,22.1137,121165.24,2667113.462,4449
1596574800000,2020-08-04 21:00:00,BNB/USDT,22.1199,22.3742,22.0908,22.3282,164913.85,3678349.059,6963
1596578400000,2020-08-04 22:00:00,BNB/USDT,22.3284,22.42,22.27,22.4155,125832.33,2812948.938,6658
1596582000000,2020-08-04 23:00:00,BNB/USDT,22.4144,22.4433,22.2154,22.2818,94063.44,2099024.3,6713
1596585600000,2020-08-05 0:00:00,BNB/USDT,22.2967,22.4354,22.1619,22.212,94643.79,2106066.316,5346
1596589200000,2020-08-05 1:00:00,BNB/USDT,22.211,22.2391,22.0566,22.2225,122716.66,2720308.937,5402
1596592800000,2020-08-05 2:00:00,BNB/USDT,22.2259,22.7823,22.126,22.7204,226173.66,5086693.392,12052
1596596400000,2020-08-05 3:00:00,BNB/USDT,22.7258,22.96,22.696,22.857,191441,4374530.496,9348
1596600000000,2020-08-05 4:00:00,BNB/USDT,22.855,23.3946,22.8523,23.1681,522490.66,12074674.14,19490
1596603600000,2020-08-05 5:00:00,BNB/USDT,23.1802,23.29,23.006,23.1708,173929.16,4034000.291,9039
1596607200000,2020-08-05 6:00:00,BNB/USDT,23.1704,23.2195,22.952,23.126,122487.84,2829737.218,7904
1596610800000,2020-08-05 7:00:00,BNB/USDT,23.1262,23.1893,22.9106,22.9841,110731.44,2553750.373,8573
1596614400000,2020-08-05 8:00:00,BNB/USDT,22.9862,23.3076,22.9862,23.25,178043.7,4134093.542,10374
1596618000000,2020-08-05 9:00:00,BNB/USDT,23.25,23.54,23.22,23.3801,185603.42,4346254.722,12710
1596621600000,2020-08-05 10:00:00,BNB/USDT,23.3802,23.4599,23.091,23.15,194044.6,4504913.848,12656
1596625200000,2020-08-05 11:00:00,BNB/USDT,23.15,23.5019,23.15,23.4965,200477.86,4683887.274,10942
1596628800000,2020-08-05 12:00:00,BNB/USDT,23.4968,23.5219,23.1207,23.26,201764.71,4701565.991,13609
1596632400000,2020-08-05 13:00:00,BNB/USDT,23.2707,23.3496,23.092,23.21,164122.39,3805215.146,11477
1596636000000,2020-08-05 14:00:00,BNB/USDT,23.2164,23.2397,23,23.2007,154317.61,3569506.539,12049
1596639600000,2020-08-05 15:00:00,BNB/USDT,23.2007,23.2022,23.05,23.1229,111811.18,2584555.89,9359
1596643200000,2020-08-05 16:00:00,BNB/USDT,23.1264,23.3983,23.0972,23.332,149251.48,3473603.671,10986
1596646800000,2020-08-05 17:00:00,BNB/USDT,23.332,23.3539,23.2153,23.3317,88363.12,2059427.143,7594
1596650400000,2020-08-05 18:00:00,BNB/USDT,23.3393,23.35,22.9878,23.1646,107103.55,2481491.457,6043
1596654000000,2020-08-05 19:00:00,BNB/USDT,23.1735,23.2793,23.125,23.2071,49125.34,1139870.863,5140
1596657600000,2020-08-05 20:00:00,BNB/USDT,23.2091,23.3,23.1659,23.2801,38894.68,904316.3983,4289
1596661200000,2020-08-05 21:00:00,BNB/USDT,23.2848,23.3326,23.1056,23.2347,79252.08,1839728.987,7218
1596664800000,2020-08-05 22:00:00,BNB/USDT,23.2327,23.2327,22.7326,23.0699,149658.16,3444698.452,13416
1596668400000,2020-08-05 23:00:00,BNB/USDT,23.0753,23.3099,23.0541,23.2728,81869.42,1900764.243,6188
1596672000000,2020-08-06 0:00:00,BNB/USDT,23.2685,23.2811,23.11,23.1861,83473.01,1936927.998,6574
1596675600000,2020-08-06 1:00:00,BNB/USDT,23.1853,23.1863,22.9109,22.9792,126651.07,2918804.09,7220
1596679200000,2020-08-06 2:00:00,BNB/USDT,22.9796,23.0477,22.8224,23.037,100510.15,2305610.741,5995
1596682800000,2020-08-06 3:00:00,BNB/USDT,23.0456,23.0464,22.8383,22.9263,65006.58,1490981.719,4693
1596686400000,2020-08-06 4:00:00,BNB/USDT,22.9272,22.93,22.6793,22.8669,112134.19,2558392.92,7976
1596690000000,2020-08-06 5:00:00,BNB/USDT,22.8666,22.9723,22.753,22.8319,105546.44,2412191.058,5762
1596693600000,2020-08-06 6:00:00,BNB/USDT,22.8317,22.9543,22.8084,22.9517,78581.76,1796163.074,4245
1596697200000,2020-08-06 7:00:00,BNB/USDT,22.9534,22.99,22.8361,22.9597,73690.78,1690101.69,3855
1596700800000,2020-08-06 8:00:00,BNB/USDT,22.9521,23.1798,22.9428,23.1215,96373.13,2222893.134,5483
1596704400000,2020-08-06 9:00:00,BNB/USDT,23.135,23.1422,23.0183,23.066,71308.59,1645504.608,6827
1596708000000,2020-08-06 10:00:00,BNB/USDT,23.0678,23.0697,22.8922,22.895,79954.15,1837025.919,6152
1596711600000,2020-08-06 11:00:00,BNB/USDT,22.896,23.0486,22.874,23.0214,71356.94,1639542.755,5960
1596715200000,2020-08-06 12:00:00,BNB/USDT,23.0266,23.13,22.9578,23.1217,75248.56,1734755.527,5318
1596718800000,2020-08-06 13:00:00,BNB/USDT,23.1246,23.315,23.0209,23.0952,144005.02,3336701.773,12329
1596722400000,2020-08-06 14:00:00,BNB/USDT,23.0951,23.117,22.84,22.9394,117986.34,2713352.704,10724
1596726000000,2020-08-06 15:00:00,BNB/USDT,22.942,23.1554,22.92,23.0491,130195.32,3002072.054,11611
1596729600000,2020-08-06 16:00:00,BNB/USDT,23.0484,23.087,22.908,23.0293,114600.6,2635327.264,7965
1596733200000,2020-08-06 17:00:00,BNB/USDT,23.0365,23.0545,22.9345,22.9639,96916.26,2226567.993,4514
1596736800000,2020-08-06 18:00:00,BNB/USDT,22.9583,23.0294,22.8116,22.8887,113867.11,2610474.982,6367
1596740400000,2020-08-06 19:00:00,BNB/USDT,22.8954,22.9738,22.8,22.9275,125483.23,2871084.93,6941
1596744000000,2020-08-06 20:00:00,BNB/USDT,22.9275,22.9899,22.7878,22.8201,95781.56,2193269.938,5211
1596747600000,2020-08-06 21:00:00,BNB/USDT,22.8208,22.9222,22.5126,22.7861,160395.52,3649078.459,8580
1596751200000,2020-08-06 22:00:00,BNB/USDT,22.7861,22.8336,22.6066,22.6812,84446.77,1917553.214,5667
1596754800000,2020-08-06 23:00:00,BNB/USDT,22.6803,22.8204,22.5,22.7487,119428.18,2705687.775,8452
1596758400000,2020-08-07 0:00:00,BNB/USDT,22.7488,22.7883,22.5001,22.7085,93097.6,2115300.17,5890
1596762000000,2020-08-07 1:00:00,BNB/USDT,22.7094,22.8224,22.6566,22.6985,106039.59,2411284.717,6190
1596765600000,2020-08-07 2:00:00,BNB/USDT,22.6985,22.8199,22.6782,22.7519,76633.91,1744012.177,4637
1596769200000,2020-08-07 3:00:00,BNB/USDT,22.7526,22.8789,22.712,22.76,93231.48,2125041.898,4606
1596772800000,2020-08-07 4:00:00,BNB/USDT,22.7607,22.7896,22.5511,22.6283,103207.99,2339855.548,5531
1596776400000,2020-08-07 5:00:00,BNB/USDT,22.6283,22.6749,22.5354,22.5582,65032.81,1469198.086,4845
1596780000000,2020-08-07 6:00:00,BNB/USDT,22.561,22.6485,22.4,22.6302,84855.86,1910653.316,6660
1596783600000,2020-08-07 7:00:00,BNB/USDT,22.6331,22.6567,22.5762,22.6559,79842.81,1805170.114,3687
1596787200000,2020-08-07 8:00:00,BNB/USDT,22.6559,22.94,22.608,22.8743,149749.85,3415057.238,8890
1596790800000,2020-08-07 9:00:00,BNB/USDT,22.8743,22.9999,22.8023,22.8329,81840.13,1875047.71,6081
1596794400000,2020-08-07 10:00:00,BNB/USDT,22.8386,22.8579,22.7122,22.7623,58793.01,1339881.905,4958
1596798000000,2020-08-07 11:00:00,BNB/USDT,22.7622,22.7717,22.6241,22.7551,59499.69,1351417.737,5274
1596801600000,2020-08-07 12:00:00,BNB/USDT,22.7527,22.85,22.6333,22.7883,76207,1733036.393,5961
1596805200000,2020-08-07 13:00:00,BNB/USDT,22.7874,22.8714,22.7004,22.7893,66296.26,1511839.328,5183
1596808800000,2020-08-07 14:00:00,BNB/USDT,22.789,22.7893,22.4224,22.5908,219575.85,4954226.515,12237
1596812400000,2020-08-07 15:00:00,BNB/USDT,22.5993,22.6952,22.528,22.5509,89583.25,2026666.199,6138
1596816000000,2020-08-07 16:00:00,BNB/USDT,22.5584,22.6585,22.2,22.2,141985.76,3189258.865,9398
1596819600000,2020-08-07 17:00:00,BNB/USDT,22.2,22.4354,21.609,22.0371,527354.84,11632948.74,37723
1596823200000,2020-08-07 18:00:00,BNB/USDT,22.0427,22.0499,21.4515,21.9204,186153.86,4043590.13,14279
1596826800000,2020-08-07 19:00:00,BNB/USDT,21.9235,22.0999,21.8605,21.8916,66514.02,1462635.34,5945
1596830400000,2020-08-07 20:00:00,BNB/USDT,21.8955,22.2285,21.8807,22.1623,51858.81,1147126.023,5418
1596834000000,2020-08-07 21:00:00,BNB/USDT,22.1623,22.27,22.1122,22.2484,49877.09,1106832.039,3917
1596837600000,2020-08-07 22:00:00,BNB/USDT,22.2474,22.487,22.1505,22.266,174339.28,3901808.117,6710
1596841200000,2020-08-07 23:00:00,BNB/USDT,22.2696,22.3478,22.119,22.3323,69204.76,1537811.235,6751
1596844800000,2020-08-08 0:00:00,BNB/USDT,22.3323,22.3323,21.901,22.0489,107120.1,2365371.531,6914
1596848400000,2020-08-08 1:00:00,BNB/USDT,22.0492,22.248,22.0382,22.1101,81638.13,1806325.732,4809
1596852000000,2020-08-08 2:00:00,BNB/USDT,22.1101,22.1592,22.0145,22.1164,45078.26,996514.7406,3229
1596855600000,2020-08-08 3:00:00,BNB/USDT,22.1165,22.1241,21.9111,21.958,83663.68,1842421.043,4653
1596859200000,2020-08-08 4:00:00,BNB/USDT,21.9598,22.0045,21.8571,21.8641,91073.92,1997897.856,4220
1596862800000,2020-08-08 5:00:00,BNB/USDT,21.8632,22.1235,21.8598,22.1136,63512.23,1397076.123,4315
1596866400000,2020-08-08 6:00:00,BNB/USDT,22.1094,22.1862,22.0474,22.1537,101916.42,2253245.534,4267
1596870000000,2020-08-08 7:00:00,BNB/USDT,22.154,22.2084,22.039,22.08,91616.02,2027189.694,4717
1596873600000,2020-08-08 8:00:00,BNB/USDT,22.0806,22.1272,21.974,22.0076,100912.1,2224886.54,5498
1596877200000,2020-08-08 9:00:00,BNB/USDT,22.0072,22.2911,22.0008,22.2653,84752.2,1878989.726,5431
1596880800000,2020-08-08 10:00:00,BNB/USDT,22.2653,22.37,22.2406,22.34,76917.85,1714989.992,5585
1596884400000,2020-08-08 11:00:00,BNB/USDT,22.3462,22.5404,22.3331,22.5303,64352.58,1443854.54,6467
1596888000000,2020-08-08 12:00:00,BNB/USDT,22.5377,22.6962,22.3793,22.6926,81256,1832632.894,6561
1596891600000,2020-08-08 13:00:00,BNB/USDT,22.6954,22.7156,22.478,22.5496,64488.83,1454587.265,6122
1596895200000,2020-08-08 14:00:00,BNB/USDT,22.5489,22.8145,22.5103,22.6375,111141.75,2517485.323,7089
1596898800000,2020-08-08 15:00:00,BNB/USDT,22.6414,22.7572,22.6007,22.6348,75589.96,1714547.824,6143
1596902400000,2020-08-08 16:00:00,BNB/USDT,22.6399,22.6985,22.43,22.524,121366.76,2737441.712,7663
1596906000000,2020-08-08 17:00:00,BNB/USDT,22.5248,22.6,22.44,22.5454,129046.43,2908512.014,4561
1596909600000,2020-08-08 18:00:00,BNB/USDT,22.5504,22.65,22.5338,22.6143,151609.55,3424779.588,4718
1596913200000,2020-08-08 19:00:00,BNB/USDT,22.6144,22.635,22.4548,22.4699,142268.63,3208476.477,6943
1596916800000,2020-08-08 20:00:00,BNB/USDT,22.4779,22.5254,22.396,22.5019,114830.06,2580789.778,4788
1596920400000,2020-08-08 21:00:00,BNB/USDT,22.5053,22.6673,22.445,22.6646,113513.41,2565077.065,4960
1596924000000,2020-08-08 22:00:00,BNB/USDT,22.6646,22.9052,22.6454,22.8778,188854.15,4305642.856,8508
1596927600000,2020-08-08 23:00:00,BNB/USDT,22.8831,22.9241,22.7106,22.9234,122343.38,2795596.67,5624
1596931200000,2020-08-09 0:00:00,BNB/USDT,22.923,22.9233,22.6216,22.765,108944.27,2482210.897,7267
1596934800000,2020-08-09 1:00:00,BNB/USDT,22.7695,22.8055,22.6139,22.7627,61361.29,1393821.191,4427
1596938400000,2020-08-09 2:00:00,BNB/USDT,22.7596,22.91,22.7557,22.863,96041.59,2193511.753,4373
1596942000000,2020-08-09 3:00:00,BNB/USDT,22.8618,22.91,22.7728,22.8102,105194.36,2403990.094,3840
1596945600000,2020-08-09 4:00:00,BNB/USDT,22.8112,22.8475,22.58,22.6197,87678.85,1992363.689,4647
1596949200000,2020-08-09 5:00:00,BNB/USDT,22.6269,22.7668,22.5464,22.56,85697.1,1942787.785,4662
1596952800000,2020-08-09 6:00:00,BNB/USDT,22.5618,22.6544,22.5132,22.576,79309.58,1792149.57,4571
1596956400000,2020-08-09 7:00:00,BNB/USDT,22.5812,22.7408,22.57,22.735,66896.66,1515377.515,4857
1596960000000,2020-08-09 8:00:00,BNB/USDT,22.7396,22.794,22.5628,22.6139,101962.92,2311539.547,5794
1596963600000,2020-08-09 9:00:00,BNB/USDT,22.6093,22.6139,22.3159,22.4048,101166.36,2276549.352,7840
1596967200000,2020-08-09 10:00:00,BNB/USDT,22.4048,22.5253,22.3618,22.524,46233.07,1037822.909,5248
1596970800000,2020-08-09 11:00:00,BNB/USDT,22.5239,22.6087,22.5,22.5359,44541.28,1004421.425,5891
1596974400000,2020-08-09 12:00:00,BNB/USDT,22.5359,22.5382,22.3072,22.3945,57242.26,1281777.706,6209
1596978000000,2020-08-09 13:00:00,BNB/USDT,22.4016,22.49,22.2631,22.3039,91384.27,2043005.269,6584
1596981600000,2020-08-09 14:00:00,BNB/USDT,22.302,22.37,22.08,22.1483,106993.36,2375661.334,9669
1596985200000,2020-08-09 15:00:00,BNB/USDT,22.1488,22.3,22.0462,22.2234,58887.71,1306756.496,6678
1596988800000,2020-08-09 16:00:00,BNB/USDT,22.2279,22.4079,22.1812,22.2776,101247.06,2259911.584,6351
1596992400000,2020-08-09 17:00:00,BNB/USDT,22.2815,22.4199,22.167,22.2519,100990.36,2253181.338,7974
1596996000000,2020-08-09 18:00:00,BNB/USDT,22.2546,22.4499,22.25,22.4176,115166.34,2572635.162,5532
1596999600000,2020-08-09 19:00:00,BNB/USDT,22.4176,22.56,22.4013,22.4592,96686.49,2172788.542,6635
1597003200000,2020-08-09 20:00:00,BNB/USDT,22.4567,22.5892,22.4182,22.4831,110183.12,2478896.099,5057
1597006800000,2020-08-09 21:00:00,BNB/USDT,22.4799,22.55,22.3508,22.4087,79201.5,1774660.997,3874
1597010400000,2020-08-09 22:00:00,BNB/USDT,22.4088,22.4628,22.2952,22.3909,100548.76,2252055.785,4828
1597014000000,2020-08-09 23:00:00,BNB/USDT,22.3909,22.4666,22.3158,22.422,108619.61,2433346.528,5072
1597017600000,2020-08-10 0:00:00,BNB/USDT,22.4224,22.5909,22.3743,22.5501,126335.89,2844849.423,8263
1597021200000,2020-08-10 1:00:00,BNB/USDT,22.5506,22.6,22.426,22.5378,121842.51,2744380.1,8901
1597024800000,2020-08-10 2:00:00,BNB/USDT,22.5415,22.64,22.4403,22.5359,137180.1,3096111.691,13073
1597028400000,2020-08-10 3:00:00,BNB/USDT,22.5389,22.76,22.5,22.7132,93576.77,2119947.116,8711
1597032000000,2020-08-10 4:00:00,BNB/USDT,22.7132,22.77,22.5177,22.5375,77721.03,1760370.041,8344
1597035600000,2020-08-10 5:00:00,BNB/USDT,22.5375,22.75,22.4273,22.5646,110505.76,2491253.981,8756
1597039200000,2020-08-10 6:00:00,BNB/USDT,22.5647,22.7,22.5339,22.6294,43686.84,987289.4695,4672
1597042800000,2020-08-10 7:00:00,BNB/USDT,22.6297,22.6654,22.4888,22.5408,56286.92,1270027.336,5723
1597046400000,2020-08-10 8:00:00,BNB/USDT,22.5422,22.6349,22.4979,22.5177,64845.2,1463887.579,6779
1597050000000,2020-08-10 9:00:00,BNB/USDT,22.52,22.5385,22.4426,22.505,67409.66,1516079.625,7362
1597053600000,2020-08-10 10:00:00,BNB/USDT,22.5057,22.5911,22.0462,22.2902,177977.65,3966237.565,13590
1597057200000,2020-08-10 11:00:00,BNB/USDT,22.2906,22.432,22.2856,22.4108,59449.48,1330286.696,6754
1597060800000,2020-08-10 12:00:00,BNB/USDT,22.4108,22.5202,22.3509,22.4904,76253.42,1711859.503,7603
1597064400000,2020-08-10 13:00:00,BNB/USDT,22.4981,22.6183,22.4503,22.6099,81072.26,1827379.849,8716
1597068000000,2020-08-10 14:00:00,BNB/USDT,22.6078,22.638,22.465,22.4784,109849.66,2475872.701,9771
1597071600000,2020-08-10 15:00:00,BNB/USDT,22.4828,22.55,22.3831,22.55,86950.09,1955664.357,10726
1597075200000,2020-08-10 16:00:00,BNB/USDT,22.55,22.5899,22.38,22.511,96711.56,2176983.28,12893
1597078800000,2020-08-10 17:00:00,BNB/USDT,22.5111,22.5432,22.4176,22.4788,101319.34,2279090.784,11827
1597082400000,2020-08-10 18:00:00,BNB/USDT,22.4894,22.55,22.4334,22.4481,69299.98,1558511.389,8412
1597086000000,2020-08-10 19:00:00,BNB/USDT,22.4509,22.5206,22.4,22.4959,78715.75,1767144.325,8141
1597089600000,2020-08-10 20:00:00,BNB/USDT,22.4975,22.5497,22.24,22.4506,77672.16,1743758.462,7454
1597093200000,2020-08-10 21:00:00,BNB/USDT,22.45,22.4783,22.3256,22.4351,42175.35,945181.5722,4834
1597096800000,2020-08-10 22:00:00,BNB/USDT,22.4353,22.5095,22.3177,22.5092,61166.49,1371443.211,4914
1597100400000,2020-08-10 23:00:00,BNB/USDT,22.5093,22.6369,22.4605,22.6369,90924.55,2051108.941,6429
1597104000000,2020-08-11 0:00:00,BNB/USDT,22.6369,22.7306,22.58,22.6377,105638.73,2394052.654,9172
1597107600000,2020-08-11 1:00:00,BNB/USDT,22.6399,22.68,22.516,22.675,88030.66,1987511.076,7197
1597111200000,2020-08-11 2:00:00,BNB/USDT,22.6749,22.7104,22.579,22.5911,75641.64,1714218.72,7096
1597114800000,2020-08-11 3:00:00,BNB/USDT,22.5965,22.6361,22.3498,22.4081,125476.71,2819475.742,11234
1597118400000,2020-08-11 4:00:00,BNB/USDT,22.4057,22.5185,22.39,22.459,109134.82,2449370.577,13444
1597122000000,2020-08-11 5:00:00,BNB/USDT,22.4623,22.4998,22.36,22.4184,72081.93,1615952.559,9267
1597125600000,2020-08-11 6:00:00,BNB/USDT,22.4183,22.4186,22.08,22.1702,137815.22,3065540.739,13219
1597129200000,2020-08-11 7:00:00,BNB/USDT,22.1718,22.28,22.1333,22.2227,107482.74,2387643.266,13343
1597132800000,2020-08-11 8:00:00,BNB/USDT,22.2226,22.3199,22.043,22.0789,131084.69,2909395.381,15109
1597136400000,2020-08-11 9:00:00,BNB/USDT,22.0789,22.2,21.801,21.8958,159638.82,3523883.827,15790
1597140000000,2020-08-11 10:00:00,BNB/USDT,21.905,22.0877,21.7513,22.0607,113264.97,2484205.785,12868
1597143600000,2020-08-11 11:00:00,BNB/USDT,22.0612,22.1974,22.0015,22.1141,67839.28,1501590.7,8151
1597147200000,2020-08-11 12:00:00,BNB/USDT,22.1141,22.1176,21.7121,21.7433,107978.38,2363358.948,11387
1597150800000,2020-08-11 13:00:00,BNB/USDT,21.7452,21.7799,21.4107,21.6988,253589.13,5480152.328,19134
