unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1596582000000,2020-08-04 23:00:00,BTC/USDT,11232.4,11240.9,11161.75,11191.97,1618.653972,18131214.93,26438
1596585600000,2020-08-05 0:00:00,BTC/USDT,11191.99,11220,11141.75,11175.61,1892.584701,21153844.89,29978
1596589200000,2020-08-05 1:00:00,BTC/USDT,11175.61,11188.04,11093,11185.97,1893.76339,21115239.9,28593
1596592800000,2020-08-05 2:00:00,BTC/USDT,11185.97,11198.2,11145.73,11191.63,1717.470864,19189329.83,24891
1596596400000,2020-08-05 3:00:00,BTC/USDT,11191.63,11240.7,11186.95,11240.56,1816.174358,20367171.29,27395
1596600000000,2020-08-05 4:00:00,BTC/USDT,11240.56,11260.28,11227.9,11250,2073.157282,23313432.33,26620
1596603600000,2020-08-05 5:00:00,BTC/USDT,11250,11296,11230,11295.56,2506.906646,28223341.52,28791
1596607200000,2020-08-05 6:00:00,BTC/USDT,11295.56,11325.71,11272.64,11274.9,3010.832143,34030230.29,35507
1596610800000,2020-08-05 7:00:00,BTC/USDT,11274.47,11313.88,11271.22,11278.18,1647.348137,18602595.29,23650
1596614400000,2020-08-05 8:00:00,BTC/USDT,11278.18,11321.95,11274.84,11297.44,2657.770268,30028394.01,30538
1596618000000,2020-08-05 9:00:00,BTC/USDT,11297.44,11400,11297.44,11393.86,4972.296797,56495656.67,48995
1596621600000,2020-08-05 10:00:00,BTC/USDT,11393.86,11440,11366.87,11393.24,3467.043876,39513622.96,40680
1596625200000,2020-08-05 11:00:00,BTC/USDT,11393.23,11450,11382.21,11438.06,3069.548775,35035195.65,37202
1596628800000,2020-08-05 12:00:00,BTC/USDT,11438.07,11584.6,11391.59,11562.86,5612.1071,64457434.98,64088
1596632400000,2020-08-05 13:00:00,BTC/USDT,11563.44,11620,11542.32,11609.99,4847.992981,56151259.42,61435
1596636000000,2020-08-05 14:00:00,BTC/USDT,11610,11644.65,11466,11617.56,5554.279151,64363597.97,62786
1596639600000,2020-08-05 15:00:00,BTC/USDT,11617.56,11693.94,11593.01,11661.3,5252.477731,61216292.79,56389
1596643200000,2020-08-05 16:00:00,BTC/USDT,11662.01,11715,11611.53,11630.36,4592.760319,53587062.93,54241
1596646800000,2020-08-05 17:00:00,BTC/USDT,11629.93,11679.56,11625,11669.59,2253.202436,26248272.63,33295
1596650400000,2020-08-05 18:00:00,BTC/USDT,11669.6,11689.35,11636.37,11657.73,1973.331798,23014063.42,29745
1596654000000,2020-08-05 19:00:00,BTC/USDT,11657.73,11686,11624.15,11645,1886.589793,22007080.68,26818
1596657600000,2020-08-05 20:00:00,BTC/USDT,11645,11682.35,11634.01,11682.04,1647.682497,19219032.77,26127
1596661200000,2020-08-05 21:00:00,BTC/USDT,11682.05,11780.93,11672.8,11764.04,3319.495421,38978910.04,60998
1596664800000,2020-08-05 22:00:00,BTC/USDT,11764.05,11767.27,11505,11620.52,4830.8762,56191493.8,68675
1596668400000,2020-08-05 23:00:00,BTC/USDT,11620.5,11753.84,11620.26,11744.91,2474.564188,28931089.37,37200
1596672000000,2020-08-06 0:00:00,BTC/USDT,11744.91,11799,11641.25,11724,3395.292815,39833271.97,50148
1596675600000,2020-08-06 1:00:00,BTC/USDT,11724,11724,11630.76,11675.09,2161.784255,25232033.61,38207
1596679200000,2020-08-06 2:00:00,BTC/USDT,11675.1,11689.71,11600.36,11682.59,2317.223917,27004959.99,37730
1596682800000,2020-08-06 3:00:00,BTC/USDT,11682.59,11683.74,11620,11646.04,1821.796852,21216936.03,28357
1596686400000,2020-08-06 4:00:00,BTC/USDT,11645.78,11649.18,11562.5,11607.38,2678.647488,31095487.44,41134
1596690000000,2020-08-06 5:00:00,BTC/USDT,11607.38,11634.4,11571.63,11625.71,1704.872125,19790369.7,29713
1596693600000,2020-08-06 6:00:00,BTC/USDT,11625.71,11680,11614.58,11671.81,2025.784713,23616330.61,29438
1596697200000,2020-08-06 7:00:00,BTC/USDT,11671.82,11674.99,11626.49,11628.51,1614.244565,18813222.33,25017
1596700800000,2020-08-06 8:00:00,BTC/USDT,11628.51,11720,11626.49,11707.48,2779.306242,32489244.34,31837
1596704400000,2020-08-06 9:00:00,BTC/USDT,11707.48,11754.68,11697.64,11739.18,2848.105868,33411847.63,35159
1596708000000,2020-08-06 10:00:00,BTC/USDT,11739.19,11749.46,11666.66,11671.17,2380.519443,27870865.78,36559
1596711600000,2020-08-06 11:00:00,BTC/USDT,11671.16,11730,11655.21,11692.49,2195.732245,25690713.03,33861
1596715200000,2020-08-06 12:00:00,BTC/USDT,11692.49,11776.6,11690.32,11760.39,3058.918166,35934772.73,40304
1596718800000,2020-08-06 13:00:00,BTC/USDT,11760.39,11872.86,11734.4,11867.98,5083.945275,60037221.36,55375
1596722400000,2020-08-06 14:00:00,BTC/USDT,11867.97,11878.26,11730.45,11800.62,4435.10531,52455348.74,51945
1596726000000,2020-08-06 15:00:00,BTC/USDT,11800.62,11854.86,11790.05,11837.56,2734.055615,32338777.07,44349
1596729600000,2020-08-06 16:00:00,BTC/USDT,11837.56,11870.5,11796.63,11824.9,3008.22026,35602352.19,42646
1596733200000,2020-08-06 17:00:00,BTC/USDT,11824.91,11868,11777.03,11861.98,2452.246639,29001876.03,33932
1596736800000,2020-08-06 18:00:00,BTC/USDT,11861.97,11870,11800.61,11845.93,2338.748285,27682629.48,35543
1596740400000,2020-08-06 19:00:00,BTC/USDT,11845.93,11900,11836.81,11863.72,2733.195087,32448291.28,40513
1596744000000,2020-08-06 20:00:00,BTC/USDT,11863.84,11886.16,11789.13,11837.98,2028.33495,24020399.15,34641
1596747600000,2020-08-06 21:00:00,BTC/USDT,11837.99,11875,11620,11741.51,3407.008067,40039153.89,54724
1596751200000,2020-08-06 22:00:00,BTC/USDT,11741.51,11789.32,11705.7,11780.01,2191.852444,25776025.25,34577
1596754800000,2020-08-06 23:00:00,BTC/USDT,11780.01,11786.18,11695.01,11762.46,2134.144394,25077082.08,34209
1596758400000,2020-08-07 0:00:00,BTC/USDT,11762.47,11820,11735,11787.84,1897.013189,22365660.62,28056
1596762000000,2020-08-07 1:00:00,BTC/USDT,11787.98,11859.34,11785.83,11822.91,1689.981085,19994079.55,27068
1596765600000,2020-08-07 2:00:00,BTC/USDT,11822.91,11909.94,11816.76,11856.99,2522.987081,29956358.32,30322
1596769200000,2020-08-07 3:00:00,BTC/USDT,11857,11893.77,11824.98,11825,1831.507241,21727282.1,27372
1596772800000,2020-08-07 4:00:00,BTC/USDT,11824.99,11844.08,11768.43,11815.5,1901.560073,22457352.3,30773
1596776400000,2020-08-07 5:00:00,BTC/USDT,11815.49,11820,11725.01,11785.36,2147.83905,25287525.37,32031
1596780000000,2020-08-07 6:00:00,BTC/USDT,11785.35,11820.83,11765.37,11808.28,1451.9432,17132013.04,25969
1596783600000,2020-08-07 7:00:00,BTC/USDT,11808.29,11808.43,11766.35,11779.98,1660.905911,19569830.82,22401
1596787200000,2020-08-07 8:00:00,BTC/USDT,11779.87,11843.98,11732,11831.66,2554.774499,30164583.16,34306
1596790800000,2020-08-07 9:00:00,BTC/USDT,11831.67,11847,11787.68,11813,2115.330624,24996585.64,29471
1596794400000,2020-08-07 10:00:00,BTC/USDT,11812.99,11822.79,11755.06,11793.93,1871.511602,22078925.25,28077
1596798000000,2020-08-07 11:00:00,BTC/USDT,11793.93,11794.16,11680,11755.31,3506.148549,41189073.1,38443
1596801600000,2020-08-07 12:00:00,BTC/USDT,11755.31,11770.65,11675,11753.85,2980.982576,34968058.72,36828
1596805200000,2020-08-07 13:00:00,BTC/USDT,11753.85,11769.58,11706.16,11737.98,2374.35897,27873834.38,24740
1596808800000,2020-08-07 14:00:00,BTC/USDT,11737.98,11738,11458,11630.56,7129.098701,82774651.58,81362
1596812400000,2020-08-07 15:00:00,BTC/USDT,11630.56,11664.18,11616.16,11641.7,2424.515062,28233852.51,35566
1596816000000,2020-08-07 16:00:00,BTC/USDT,11641.69,11663,11585,11589.09,2875.543049,33402600.3,40609
