unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596474000000,2020-08-03 17:00:00,ETH/USDT,390.38,396.2,389.01,394.97,47606.83267,18717826.14,20253
1596477600000,2020-08-03 18:00:00,ETH/USDT,394.99,396,392.44,395.11,28182.79927,11111519.2,13289
1596481200000,2020-08-03 19:00:00,ETH/USDT,395.11,395.11,390.71,393.57,36007.3559,14136399.15,15659
1596484800000,2020-08-03 20:00:00,ETH/USDT,393.57,394.55,389.1,390.46,36233.6462,14188345.44,14441
1596488400000,2020-08-03 21:00:00,ETH/USDT,390.46,393,380.7,384.24,57471.30672,22320691.52,24745
1596492000000,2020-08-03 22:00:00,ETH/USDT,384.23,390.39,380.11,383.69,55916.59477,21603599.81,28476
1596495600000,2020-08-03 23:00:00,ETH/USDT,383.68,387,379.91,385.94,48469.18429,18595947.71,21953
1596499200000,2020-08-04 0:00:00,ETH/USDT,385.91,402.98,385.77,400.3,127056.2105,50360013.59,54096
1596502800000,2020-08-04 1:00:00,ETH/USDT,400.3,400.96,396.67,397.82,55691.41121,22224932.89,23056
1596506400000,2020-08-04 2:00:00,ETH/USDT,397.82,399.63,391.6,393.23,56984.42084,22568541.72,22813
1596510000000,2020-08-04 3:00:00,ETH/USDT,393.23,395.06,386.92,391.08,62532.25442,24470152.37,28747
1596513600000,2020-08-04 4:00:00,ETH/USDT,391.07,394.2,388.52,393.63,43511.65124,17055127.19,19334
1596517200000,2020-08-04 5:00:00,ETH/USDT,393.62,394.77,390.38,392.95,30558.18114,11990499.52,14060
1596520800000,2020-08-04 6:00:00,ETH/USDT,392.94,393.14,388.92,391.06,27672.5698,10822723.04,12654
1596524400000,2020-08-04 7:00:00,ETH/USDT,391.05,395.6,390.65,394.73,35672.00596,14054926.68,14511
1596528000000,2020-08-04 8:00:00,ETH/USDT,394.71,397.21,390.94,391.48,53077.89373,20943001.25,20830
