unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1532476800000,2018-07-25 0:00:00,LTC/USDT,89.02,90.75,84.81,86.38,164176.7992,14305114.75,31838
1532563200000,2018-07-26 0:00:00,LTC/USDT,86.38,87.9,82.75,83.37,151787.8452,13102178.27,26709
1532649600000,2018-07-27 0:00:00,LTC/USDT,83.51,85.12,81.37,84.39,158734.4442,13246486.85,27141
1532736000000,2018-07-28 0:00:00,LTC/USDT,84.39,84.7,82.26,84.07,124974.4699,10466944.39,20855
1532822400000,2018-07-29 0:00:00,LTC/USDT,84.1,85.38,83.22,83.85,119512.7544,10028538.86,20222
1532908800000,2018-07-30 0:00:00,LTC/USDT,83.89,84.62,79.76,82.18,146947.0501,12152782.17,24268
1532995200000,2018-07-31 0:00:00,LTC/USDT,82.16,82.63,76.02,78.69,157911.8041,12489474.3,28441
1533081600000,2018-08-01 0:00:00,LTC/USDT,78.91,79.06,75.78,77.53,139634.7977,10805717.31,24719
1533168000000,2018-08-02 0:00:00,LTC/USDT,77.62,78.46,75.33,76.11,134458.4997,10335329.42,21776
1533254400000,2018-08-03 0:00:00,LTC/USDT,76.16,77.84,74.66,77.7,141502.8987,10755649.49,23106
1533340800000,2018-08-04 0:00:00,LTC/USDT,77.63,78.15,72.1,73.13,148949.1646,11228478.37,28619
1533427200000,2018-08-05 0:00:00,LTC/USDT,73.06,74.73,72.23,74.61,133945.8435,9870760.384,20065
1533513600000,2018-08-06 0:00:00,LTC/USDT,74.6,76.7,72.35,73.62,137607.0727,10218380.65,22980
1533600000000,2018-08-07 0:00:00,LTC/USDT,73.67,75.24,66.58,67.35,164019.4683,11907649.77,30383
1533686400000,2018-08-08 0:00:00,LTC/USDT,67.32,67.49,60.8,62.13,185720.388,11974283.37,36626
1533772800000,2018-08-09 0:00:00,LTC/USDT,62.13,64.94,60,62.89,179209.2276,11263053.92,31918
1533859200000,2018-08-10 0:00:00,LTC/USDT,62.84,63.14,58.12,59.16,181493.8554,11133870.15,32750
1533945600000,2018-08-11 0:00:00,LTC/USDT,59.16,59.98,55,57.6,195460.3514,11141417.36,34792
1534032000000,2018-08-12 0:00:00,LTC/USDT,57.73,61.55,57.02,59.32,173455.1835,10331214.56,31616
1534118400000,2018-08-13 0:00:00,LTC/USDT,59.21,60.61,55.52,56.44,192384.1762,11164711.92,30972
1534204800000,2018-08-14 0:00:00,LTC/USDT,56.5,56.5,49.2,54.24,230722.8295,11992181.2,36658
1534291200000,2018-08-15 0:00:00,LTC/USDT,54.26,59.2,53.7,54.32,232565.4451,13029652.15,38860
1534377600000,2018-08-16 0:00:00,LTC/USDT,54.32,57.58,54.06,55.29,153625.5849,8558558.044,25903
