unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1519344000000,2018-02-23 0:00:00,BTC/USDT,9815.55,10435,9570.19,10131.04,57202.70237,571800753.5,467480
1519430400000,2018-02-24 0:00:00,BTC/USDT,10131.04,10496.97,9352,9694.51,40888.1563,405618586.6,337918
1519516800000,2018-02-25 0:00:00,BTC/USDT,9694.51,9847,9274.8,9590,28373.51759,271286599.1,233567
1519603200000,2018-02-26 0:00:00,BTC/USDT,9590,10444.32,9350,10324,34878.29276,347559259.7,285276
1519689600000,2018-02-27 0:00:00,BTC/USDT,10321,10870,10121,10569.04,30705.38512,324295371.1,240542
1519776000000,2018-02-28 0:00:00,BTC/USDT,10584.33,11098,10300,10326.76,30800.98378,327914696.1,277886
1519862400000,2018-03-01 0:00:00,BTC/USDT,10325.64,11060.41,10240,10920,25092.55393,268172535.4,230428
1519948800000,2018-03-02 0:00:00,BTC/USDT,10923.36,11200,10770,11039,23910.71009,262936307,211691
1520035200000,2018-03-03 0:00:00,BTC/USDT,11038.99,11544,11015.01,11464.48,21287.15328,241749497.9,190444
1520121600000,2018-03-04 0:00:00,BTC/USDT,11464.47,11565,11050.02,11515,17295.91865,194849579.1,168359
1520208000000,2018-03-05 0:00:00,BTC/USDT,11515,11710,11415.01,11454,15144.23106,174866951.4,164318
1520294400000,2018-03-06 0:00:00,BTC/USDT,11455,11455,10555.48,10716.48,29515.57236,323842216.6,250306
1520380800000,2018-03-07 0:00:00,BTC/USDT,10716.48,10899,9389.31,9910,50647.67108,514808033.5,396721
1520467200000,2018-03-08 0:00:00,BTC/USDT,9910,10099,9060,9271.64,41109.47323,394641280.6,336514
1520553600000,2018-03-09 0:00:00,BTC/USDT,9267.07,9410,8329,9227,64112.29141,567082901.1,462712
1520640000000,2018-03-10 0:00:00,BTC/USDT,9230,9490,8667.07,8770.22,37180.01286,341210248.4,288066
1520726400000,2018-03-11 0:00:00,BTC/USDT,8770.22,9740,8450,9533.57,44325.97339,403491260.9,333367
1520812800000,2018-03-12 0:00:00,BTC/USDT,9533.57,9888.88,8780,9131.34,42230.77793,395562731.9,336642
1520899200000,2018-03-13 0:00:00,BTC/USDT,9131.34,9474,8823,9150,40191.40936,367353984.7,342734
1520985600000,2018-03-14 0:00:00,BTC/USDT,9151.92,9333.78,7900.28,8170,49708.09411,426058009.8,399127
1521072000000,2018-03-15 0:00:00,BTC/USDT,8184.01,8430,7650,8240.98,52291.02228,422130717.5,400529
1521158400000,2018-03-16 0:00:00,BTC/USDT,8240.98,8611.64,7900,8260,38815.40989,322355002.2,255807
1521244800000,2018-03-17 0:00:00,BTC/USDT,8260,8348.62,7721.99,7824.8,33110.20633,265973111.6,292041
1521331200000,2018-03-18 0:00:00,BTC/USDT,7824.01,8317.4,7322,8189.99,59488.23171,458311733.5,423336
1521417600000,2018-03-19 0:00:00,BTC/USDT,8189,8705.23,8088.4,8600,55297.08494,462654339,360414
1521504000000,2018-03-20 0:00:00,BTC/USDT,8595.01,9050,8280,8909.98,44865.10584,387879393.5,298261
1521590400000,2018-03-21 0:00:00,BTC/USDT,8909.96,9177.01,8750.6,8885,39972.40537,358157473.4,293696
1521676800000,2018-03-22 0:00:00,BTC/USDT,8884.82,9100,8465.1,8722.9,40617.55681,354804129.3,276449
1521763200000,2018-03-23 0:00:00,BTC/USDT,8720,8909,8269,8898.03,39991.00767,340755592.5,278571
1521849600000,2018-03-24 0:00:00,BTC/USDT,8898.04,8999.95,8491,8546.86,35466.60957,313254829.9,270300
1521936000000,2018-03-25 0:00:00,BTC/USDT,8531.25,8669.85,8365.77,8470.15,29001.76932,247023172.3,215660
1522022400000,2018-03-26 0:00:00,BTC/USDT,8470.14,8514.89,7831,8134.23,44033.59566,358429758.9,310462
1522108800000,2018-03-27 0:00:00,BTC/USDT,8134.22,8215.94,7730,7795.51,37427.64805,297609656.4,266540
1522195200000,2018-03-28 0:00:00,BTC/USDT,7795.51,8109,7728,7949.3,26401.33167,209186093.2,183620
1522281600000,2018-03-29 0:00:00,BTC/USDT,7949.3,7975,6941.11,7090.14,54620.91513,405591158.6,359537
1522368000000,2018-03-30 0:00:00,BTC/USDT,7090.16,7292.43,6600.1,6840.23,65306.03198,450352009.2,400057
1522454400000,2018-03-31 0:00:00,BTC/USDT,6840.24,7223.36,6777,6923.91,36868.53909,258341534.5,240293
1522540800000,2018-04-01 0:00:00,BTC/USDT,6922,7049.98,6430,6813.01,44071.43046,297470498.8,260942
1522627200000,2018-04-02 0:00:00,BTC/USDT,6813.01,7125,6765,7056,32123.56007,224322159.4,206780
1522713600000,2018-04-03 0:00:00,BTC/USDT,7063.97,7520,7011.01,7405.21,37787.33181,277080072.8,248143
1522800000000,2018-04-04 0:00:00,BTC/USDT,7405.21,7427.52,6707,6796.1,42227.1838,297443582.7,277249
1522886400000,2018-04-05 0:00:00,BTC/USDT,6796.1,6902,6566.69,6770.76,39029.73146,263446941.1,238476
1522972800000,2018-04-06 0:00:00,BTC/USDT,6770,6850,6500,6601.39,27455.01192,182139799.8,162456
1523059200000,2018-04-07 0:00:00,BTC/USDT,6601.39,7070,6586.28,6895.8,32269.57827,222323863.5,178577
1523145600000,2018-04-08 0:00:00,BTC/USDT,6895.81,7109.13,6880,7018,21427.67317,149967346.7,152461
1523232000000,2018-04-09 0:00:00,BTC/USDT,7011.04,7185,6611,6782.72,34078.29721,234309953.8,212669
1523318400000,2018-04-10 0:00:00,BTC/USDT,6781.55,6890,6656,6843.9,22326.7281,151417844.3,147755
1523404800000,2018-04-11 0:00:00,BTC/USDT,6839.56,6990,6787,6953.79,23997.87118,165264003.4,155607
1523491200000,2018-04-12 0:00:00,BTC/USDT,6953.78,8012.23,6743.2,7923,64861.59599,485176252.5,404588
1523577600000,2018-04-13 0:00:00,BTC/USDT,7922.99,8233.39,7732,7877.41,55044.52315,439884522.7,351905
1523664000000,2018-04-14 0:00:00,BTC/USDT,7877.48,8186,7810,7999.01,31621.28636,252868761.3,194500
1523750400000,2018-04-15 0:00:00,BTC/USDT,8004,8429.54,7999.02,8355,27946.72044,230287099.6,181778
1523836800000,2018-04-16 0:00:00,BTC/USDT,8355.07,8419,7867,8064.92,36664.06972,295817536.5,226748
1523923200000,2018-04-17 0:00:00,BTC/USDT,8064.92,8173.7,7825.4,7885.02,32152.60357,258221765.6,221228
1524009600000,2018-04-18 0:00:00,BTC/USDT,7890.96,8236.43,7868,8173,26969.04457,217649160.1,183472
1524096000000,2018-04-19 0:00:00,BTC/USDT,8173.99,8296,8080,8278,27113.84746,222675105.8,196821
1524182400000,2018-04-20 0:00:00,BTC/USDT,8273.84,8930,8177.09,8856.98,39795.33749,337288580.4,289687
1524268800000,2018-04-21 0:00:00,BTC/USDT,8852.12,9035,8565,8915.31,40872.22991,358915978.1,295374
1524355200000,2018-04-22 0:00:00,BTC/USDT,8915.31,9020.67,8727.68,8787.02,29458.25348,261804372.9,229871
1524441600000,2018-04-23 0:00:00,BTC/USDT,8785.7,8985,8745,8934.01,25838.11471,229754640.6,190944
1524528000000,2018-04-24 0:00:00,BTC/USDT,8934,9731.01,8922,9619.99,46268.79011,431210048.1,326608
