unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1523491200000,2018-04-12 0:00:00,ETH/USDT,429.9,499,412.88,495.67,249766.3832,113968625.3,202769
1523577600000,2018-04-13 0:00:00,ETH/USDT,494.3,530,480.22,495.11,251752.0878,127274585,206506
1523664000000,2018-04-14 0:00:00,ETH/USDT,494.69,515,485.58,502.68,121283.3338,60727364.27,98631
1523750400000,2018-04-15 0:00:00,ETH/USDT,502.68,535,502.51,533.88,108739.154,56506254.97,93171
1523836800000,2018-04-16 0:00:00,ETH/USDT,533.88,538,497.31,511.46,130359.5255,66652300.81,103147
1523923200000,2018-04-17 0:00:00,ETH/USDT,512.09,521.2,500.02,502.56,96541.96382,49273622.85,91563
1524009600000,2018-04-18 0:00:00,ETH/USDT,502.56,526.99,501.12,526.09,73161.95251,37673780.84,68912
1524096000000,2018-04-19 0:00:00,ETH/USDT,526.49,571.61,521.03,568.14,112235.7733,61044208.32,100508
1524182400000,2018-04-20 0:00:00,ETH/USDT,568.14,622.17,556.5,617.09,160209.0395,93907683.48,153184
1524268800000,2018-04-21 0:00:00,ETH/USDT,616.8,624.5,570.23,604.87,159364.9535,95664939.94,159407
1524355200000,2018-04-22 0:00:00,ETH/USDT,604.87,643.49,589,620.92,120127.3728,74788729.85,122258
1524441600000,2018-04-23 0:00:00,ETH/USDT,620.67,649.11,618.02,645.09,77475.70793,49473079.44,88353
1524528000000,2018-04-24 0:00:00,ETH/USDT,644.58,712.99,643.76,701.58,171437.6697,118180314.7,159888
1524614400000,2018-04-25 0:00:00,ETH/USDT,701.16,703.3,593.83,618,341439.5043,218497368.2,309129
1524700800000,2018-04-26 0:00:00,ETH/USDT,617.73,666.19,600,661.51,155754.0082,98084636.58,150017
1524787200000,2018-04-27 0:00:00,ETH/USDT,661.51,686.82,635.73,643.46,134803.4839,89621495.42,132051
1524873600000,2018-04-28 0:00:00,ETH/USDT,643.41,694.9,638.76,682.86,113128.3634,76596615.43,114761
1524960000000,2018-04-29 0:00:00,ETH/USDT,683.5,700.49,665.28,690.85,110020.2387,75235079.3,121177
1525046400000,2018-04-30 0:00:00,ETH/USDT,690.85,695.3,662.2,670.78,112494.9172,76654028.98,109155
1525132800000,2018-05-01 0:00:00,ETH/USDT,670.78,675.6,627.58,672,133123.6668,87065924.85,120421
1525219200000,2018-05-02 0:00:00,ETH/USDT,671.99,691.99,663,688.56,86185.5033,58547697.51,97534
1525305600000,2018-05-03 0:00:00,ETH/USDT,688.55,792.08,685.39,779,229419.209,169982888.3,210459
1525392000000,2018-05-04 0:00:00,ETH/USDT,779,810,756.91,785.99,179924.4022,141283262.9,161690
1525478400000,2018-05-05 0:00:00,ETH/USDT,785.8,832.66,781.56,819.5,128631.1876,104594301.6,121136
1525564800000,2018-05-06 0:00:00,ETH/USDT,819.5,839.99,752.49,794.3,166871.16,132187629.5,154829
1525651200000,2018-05-07 0:00:00,ETH/USDT,794.3,799.14,701,752.49,284237.0633,210066185.3,232411
1525737600000,2018-05-08 0:00:00,ETH/USDT,753,777,720.02,748.99,135106.1962,101156197.3,126971
1525824000000,2018-05-09 0:00:00,ETH/USDT,748.99,760.74,710.26,751.75,112353.3776,82933836.45,104593
1525910400000,2018-05-10 0:00:00,ETH/USDT,752.4,769.88,720,722.52,102019.2993,76658823.46,99850
1525996800000,2018-05-11 0:00:00,ETH/USDT,722.52,737.23,663,676.96,216953.5499,150336847.8,192008
1526083200000,2018-05-12 0:00:00,ETH/USDT,676.96,690.2,633.2,684.11,166801.0749,111101666.3,159177
1526169600000,2018-05-13 0:00:00,ETH/USDT,684.56,742,666.31,729.08,136022.3921,96516164.98,116733
1526256000000,2018-05-14 0:00:00,ETH/USDT,729.08,743.9,686,727.49,183466.9224,131397089.1,152787
1526342400000,2018-05-15 0:00:00,ETH/USDT,727.49,740,695,704.91,127191.2186,91869541.84,115906
1526428800000,2018-05-16 0:00:00,ETH/USDT,704.91,712.84,673.52,706.29,118902.469,82315246.51,121956
1526515200000,2018-05-17 0:00:00,ETH/USDT,706.8,719.25,662,667.62,106723.3838,74320001.25,109610
1526601600000,2018-05-18 0:00:00,ETH/USDT,667.62,694.9,656,692.6,106541.6631,72118376.52,114419
1526688000000,2018-05-19 0:00:00,ETH/USDT,693.26,717.8,682.31,697,88828.85641,62026599.81,99860
1526774400000,2018-05-20 0:00:00,ETH/USDT,697,729.88,688.4,716.16,86004.7409,61227466.29,91685
1526860800000,2018-05-21 0:00:00,ETH/USDT,716.16,720.46,688,696.7,96085.15451,67799023.55,89438
1526947200000,2018-05-22 0:00:00,ETH/USDT,697.1,699.6,637.32,640.99,107059.5769,72112726.84,110915
1527033600000,2018-05-23 0:00:00,ETH/USDT,640.86,669,560,577.19,257099.771,155638543.8,203100
1527120000000,2018-05-24 0:00:00,ETH/USDT,577.19,612.1,550,602.18,195854.625,114324332.3,159755
1527206400000,2018-05-25 0:00:00,ETH/USDT,602.08,617.46,568.7,585.55,118076.2627,70118224.93,115243
1527292800000,2018-05-26 0:00:00,ETH/USDT,585.56,607.62,578.32,586,77654.12532,46205282.69,76446
1527379200000,2018-05-27 0:00:00,ETH/USDT,586.03,592,557.43,570.4,97097.26713,55737244.52,90855
1527465600000,2018-05-28 0:00:00,ETH/USDT,570.81,576.2,506.11,511.5,153197.8328,81950608.39,136137
1527552000000,2018-05-29 0:00:00,ETH/USDT,511.5,573.43,510,567.36,189082.8379,103113233.7,128067
1527638400000,2018-05-30 0:00:00,ETH/USDT,567.09,585.83,541.2,557.19,122132.2701,68698935.18,94311
1527724800000,2018-05-31 0:00:00,ETH/USDT,557.87,586.73,552.98,577.81,100101.5228,57312700.87,88463
1527811200000,2018-06-01 0:00:00,ETH/USDT,577.81,590.26,564.93,579,83840.84162,48334174.76,85475
1527897600000,2018-06-02 0:00:00,ETH/USDT,579,599.17,572.9,590.85,80258.14719,47346968.13,81067
1527984000000,2018-06-03 0:00:00,ETH/USDT,590.85,628.81,590.1,619.66,84123.33235,51660963.91,83803
1528070400000,2018-06-04 0:00:00,ETH/USDT,619.66,625.47,580.15,591.02,96339.44507,57791317.73,86009
1528156800000,2018-06-05 0:00:00,ETH/USDT,591.02,614,570.36,609.05,89053.74351,52918830.21,86957
1528243200000,2018-06-06 0:00:00,ETH/USDT,609.29,613.35,593.4,607.4,70152.92117,42406036.34,71275
1528329600000,2018-06-07 0:00:00,ETH/USDT,606.68,618,598.24,605.16,60174.1888,36622061.4,61247
1528416000000,2018-06-08 0:00:00,ETH/USDT,605.2,608.45,593.33,598.68,49228.00755,29570758.38,49881
1528502400000,2018-06-09 0:00:00,ETH/USDT,599.29,608.97,591,592.87,38908.0653,23425391.98,40208
1528588800000,2018-06-10 0:00:00,ETH/USDT,592.44,592.87,501.13,524.11,190350.5843,103749727.2,145196
1528675200000,2018-06-11 0:00:00,ETH/USDT,524.64,535.51,508.66,531.69,145813.0782,76462994.87,117598
1528761600000,2018-06-12 0:00:00,ETH/USDT,531.08,538.88,482,493,158223.1481,81341580.82,121424
1528848000000,2018-06-13 0:00:00,ETH/USDT,493,501.97,449.06,475.47,181842.1942,86416386.63,134718
1528934400000,2018-06-14 0:00:00,ETH/USDT,475.47,529,460,519.29,206093.0733,102374390,156597
1529020800000,2018-06-15 0:00:00,ETH/USDT,519.3,521,481.62,487.48,160532.5361,80145974.85,122246
1529107200000,2018-06-16 0:00:00,ETH/USDT,487.47,503.28,483.72,496.74,131095.4517,64919187.05,96076
1529193600000,2018-06-17 0:00:00,ETH/USDT,496.45,507.6,492.7,497.14,117316.9322,58745118.71,92111
1529280000000,2018-06-18 0:00:00,ETH/USDT,497.15,524.48,487.27,517.95,143826.6827,72402471.35,119818
